text,label
"JEE prep chal rahi hai, it's tough but manageable",1
"Week mein 2 tests hain, schedule tight hai thoda",1
"Raat bhar jaag ke padha but still nothing is going in my head",2
"Coaching aur college dono manage karna padta hai, tiring hai",1
"Itna padha but paper mein sab ulta seedha tha, kuch samjha hi nahi",2
"Results anxiety hai thodi but I think I've done okay",1
"Internals mein average marks aaye, finals mein improve karna hai",1
"3 din se soye nahi hain, aankhein band nahi ho rahi tension se",2
"Thoda nervous hoon exam ke liye but preparation okay hai",1
"Kal exam hai but puri tayari hai, no tension",0
"Anxiety itni hai ki khana bhi nahi khaya 2 din se",2
"Phone use bahut ho raha hai, distraction hai thodi",1
"Sabse peeche hoon class mein, bahut sharam aati hai",2
"Har roz uthta hoon with dread, exams kabhi khatam hi nahi hote",2
"Chemistry experiment achi gayi, lab marks aenge poore",0
"Dost ke saath padha aaj, concepts clear ho gaye",0
"Project successfully complete hua, team ne bahut saraaha",0
"Yaar kal board exam hai aur mujhe kuch nahi aata, I'm completely blank",2
"Aaj library mein 4 ghante padha, productive day",0
"Aaj college mein fun tha, dost bhi mile aur padhai bhi hui",0
"English essay likhna thoda mushkil lagta hai mujhe",1
"Aaj revision nahi ho paya, kal extra time dunga",1
"Relatives puchte hain marks kitne aaye, mujhe unse milna hi nahi",2
"Thodi anxiety hai but parents support kar rahe hain",1
"Chemistry thodi mushkil lag rahi hai but chal raha hai slowly",1
"Exam hall mein sab kuch bhool gaya, mind completely blank ho gaya",2
"Maths mein ek bhi question solve nahi hua aaj, totally hopeless",2
"Study breaks le raha hoon properly, feeling fresh and focused",0
"Thodi neend kam ho rahi hai but chalta hai for now",1
"Coaching mein bhi acha chal raha hai, concepts strong hain",0
"Coaching wale bol rahe hain improvement nahi hai, discouraged hoon bahut",2
"Kuch doubts hain syllabus mein, clearing them one by one",1
"Mummy ko pata chalega toh bahut dukhi hongi, I can't face them",2
"Aaj English essay likhna enjoy hua, acha likha maine",0
"Kuch topics revision ke liye baaki hain, trying to finish",1
"Neend bhi poori ho rahi hai aur padhai bhi, life balanced hai",0
"Dil kar raha hai sab chod ke bhaag jaun kahin door",2
"Chapters bahut hain cover karne ke liye, time management issue",1
"Padhai mein interest aa raha hai ab, topics interesting lag rahe hain",0
"Ghar wale bol rahe hain doctor bano but mujhse padhai hi nahi hoti",2
"Teacher ne class mein embarrass kiya, ab jaana hi nahi school",2
"Board exam mein 60% aaye, medical ka sapna toot gaya",2
"Mock mein time management bigad gaya, need to fix that",1
"Assignment submit nahi hui aur professor ne zero de diya",2
"Revision schedule bana liya, feeling organized",0
"JEE mock mein achha score aaya, motivated hoon",0
"JEE mein rank nahi aayi toh zindagi khatam samjho",2
"Board exam ki preparation chal rahi hai, sab theek hai",0
"Weekend bhi padhai mein gaya, thoda bore ho gaya hoon",1
"Backlogs itne ho gaye hain ki samajh nahi aata kahan se shuru karun",2
"Physics numerical weak hai mera, practice kar raha hoon",1
"Neend aa rahi hai but padha nahi toh kal dant padegi",2
"Doston ko sab aa raha hai, sirf mujhe hi kuch nahi aata",2
"Iss chapter mein concepts clear nahi hain, teacher se poochhunga",1
"Study group mein sab itna aage hain, main kahan hoon",2
"Internals mein acche marks aaye, finals ke liye confident hoon",0
"Mujhe lagta hai main is baar definitely fail ho jaunga",2
"Tired hoon padhai se but deadline hai toh karna padega",1
"Exam near hai toh thoda stressed hoon but trying my best",1
"Doston ke saath time kum ho gaya padhai ki wajah se",1
"Aaj ka din productive tha, notes complete ho gaye poore",0
"I can't take this pressure anymore, bahut zyada ho gaya hai",2
"Roz raat ko neend nahi aati exam ke darr se",2
"Study routine follow ho rahi hai, no complaints",0
"Attendance acchi hai is semester, regular hoon classes mein",0
"Itni mehnat ke baad bhi mock test mein 40% aaye, kya fayda",2
"Papa ne bola top karo nahi toh college fees band, ab kya karun",2
"Group study achi rahi aaj, sab kuch clear ho gaya",0
"Itna pressure hai ki rona aa raha hai, kuch nahi ho raha mujhse",2
"Iss semester mein CGPA 5 se neeche gir gayi, placement gone",2
"Mera future dark lag raha hai, koi ummeed nahi dikh rahi",2
"Library mein acchi books mili reference ke liye, research chal rahi hai",0
"Chemistry ka paper kal hai aur ek bhi chapter complete nahi hua",2
"Project deadline next week hai, slowly progress ho rahi hai",1
"Aaj revision smooth rahi, sab yaad hai",0
"Mock test mein expected se achha score aaya",0
"Nervous hoon results ke liye but jitna padha utna theek hai",1
"Group study se help mil rahi hai but time zyada lagta hai",1
"Aaj ka din bohot acha tha, presentation achi gayi sab ne appreciate kiya",0
"Maths mein kuch topics weak hain, working on them",1
"Feeling confident about tomorrow's exam, revision ho gayi",0
"Practice papers mein average aa raha hai, need improvement",1
"Aaj ka mock test accha gaya, time management bhi theek rahi",0
"Preparing for viva, thoda nervous hoon but practice kar raha hoon",1
"Assignment time pe submit ho gayi, professor khush the",0
"Mock test kal hai, let's see how it goes",1
"Thoda pressure feel ho raha hai but it's okay I'll manage",1
"Raat ko 1 baje tak padha, thak gaya hoon but chalta hai",1
"Practical exam well tha, examiner bhi impressed tha",0
"Sleep schedule disturb ho gaya hai exams ki wajah se",1
"Aaj notes incomplete rahe, kal poore karne padenge",1
"Practicals mein fail ho gaya, now have to repeat entire semester",2
"Scholarship test mein qualify kiya, itni khushi ho rahi hai",0
"Mujhe lagta hai aur preparation chahiye thi but dekh lete hain",1
"Kal test hai, last minute revision chal rahi hai",1
"Notes saari subjects ke complete hain, exam ready feel ho raha hai",0
"Bio ka diagram yaad hi nahi hota, hamesha marks kate",2
"Ek hafte mein 4 exams hain, kuch prepare nahi hua abhi tak",2
"Mentor ne bola progress acchi hai, motivated feel ho raha hoon",0
"Physics samajh nahi aa rahi, fail ho jaunga pakka is baar",2
"Attendance thodi kam hai, need to be more regular",1
"Main padhai chod deta hoon, kuch nahi hoga mujhse",2
"Parents ko kya munh dikhaaunga agar marks kharab aaye",2
"Mere saare dost pass ho gaye, main akela fail hua",2
"Result mein expected marks aaye, parents khush hain",0
"Physics numerical aaj sab sahi aaye, practiced a lot",0
"Syllabus on track hai, feeling good about preparation",0
"Class mein actively participate kiya aaj, teacher ne notice kiya",0
"Study routine set karna mushkil ho raha hai lately",1
"Teacher ne class mein praise kiya, bahut accha laga",0
"Padhai ho rahi hai, sab theek hai abhi",0
"Exam ke baad trip plan hai doston ke saath, excited hoon",0
"Sabne bola tha easy hoga but paper dekh ke dimag ghoom gaya",2
"Syllabus bahut lamba hai, trying to cover maximum",1
"Revision chal rahi hai, kuch formulas yaad nahi ho rahe",1
"Online test mein top 10 mein aaya, bahut khushi hui",0
"Can't breathe properly jab exams ke baare mein sochta hoon",2
"Maths mein aaj sab questions solve ho gaye, feeling great",0
"Kal submission hai, thoda rush mein hoon aajkal",1
"Weekend pe padhai bhi ki aur rest bhi liya, balance accha raha",0
