text,label
"practical record complete nahi ho pa raha, roz raat ko I am dead inside.",2
"Mera Microservices ka experiment done hai, I am fully confident.",0
"practical record abhi tak pending hai, feeling confused about the deadline.",1
ML samajh aa raha hai but viva ke time pe overwhelmed ho jata hoon.,1
"Internal marks thode kam hain, pressured feel ho raha final JEE ke liye.",1
"ML project mein ek annoying bug hai, raat tak fix karna padega, feeling thoda nervous.",1
Neend thodi kam aa rahi hai mid-sem ki tension ki wajah se.,1
"practical record complete nahi ho pa raha, roz raat ko I am breaking down.",2
"Mera Java ka assignment done hai, I am fully happy.",0
"project abhi tak pending hai, feeling confused about the deadline.",1
"Sleep schedule aur study dono manage ho raha hai, life balanced hai.",0
ML samajh aa raha hai but end-sem exam ke time pe confused ho jata hoon.,1
Placement prep aur college project manage karne mein thoda overwhelmed feel hota hai.,1
"Mentally balanced hoon, koi JEE ka darr nahi.",0
"Kal ke mid-sem ke liye I am set, syllabus cover ho gaya.",0
"Mera Java ka lab file done hai, I am fully peaceful.",0
"Syllabus lamba hai, aur mid-sem paas aa raha hai, thoda time kam lag raha hai.",1
"SQL ka error resolve ho gaya, code successfully chal raha hai.",0
"Mera dimag phat jayega, AI mein kuch samajh nahi aa raha, completely breaking down.",2
"Life barbaad lag rahi hai, Physics mein fail hone wala hoon, dead inside.",2
"Mentally happy hoon, koi college exam ka darr nahi.",0
"Breathless feel ho raha hai internship review ke thought se hi, anxiety is too high.",2
"Life barbaad lag rahi hai, Spring Boot mein fail hone wala hoon, severely anxious.",2
Placement prep aur college experiment manage karne mein thoda confused feel hota hai.,1
"assignment complete nahi ho pa raha, roz raat ko I am crying constantly.",2
"Aaj ka din productive tha, Cloud architecture padha aur ab on track hai.",0
Placement prep aur college project manage karne mein thoda thoda nervous feel hota hai.,1
Java samajh aa raha hai but viva ke time pe anxious ho jata hoon.,1
"Thodi tension hai board exam ki, thoda nervous lag raha hai.",1
"Sab kuch plan ke hisaab se ja raha hai, totally on track and focused.",0
"experiment time pe submit kar diya, ab I am completely relaxed.",0
"Thodi tension hai board exam ki, worried lag raha hai.",1
"Kal ke internship review ke liye I am set, syllabus cover ho gaya.",0
"assignment abhi tak pending hai, feeling anxious about the deadline.",1
"Internal marks thode kam hain, pressured feel ho raha final board exam ke liye.",1
"Mera DBMS ka practical record done hai, I am fully confident.",0
